iteration: 100, loss: 0.0516, scmap loss: 0.0382, locref loss: 0.0028, limb loss: 0.0106, lr: 0.0001
iteration: 200, loss: 0.0142, scmap loss: 0.0124, locref loss: 0.0003, limb loss: 0.0014, lr: 0.0001
iteration: 300, loss: 0.0108, scmap loss: 0.0092, locref loss: 0.0003, limb loss: 0.0012, lr: 0.0001
iteration: 400, loss: 0.0088, scmap loss: 0.0075, locref loss: 0.0003, limb loss: 0.0011, lr: 0.0001
iteration: 500, loss: 0.0075, scmap loss: 0.0065, locref loss: 0.0002, limb loss: 0.0008, lr: 0.0001
iteration: 600, loss: 0.0079, scmap loss: 0.0068, locref loss: 0.0002, limb loss: 0.0008, lr: 0.0001
iteration: 700, loss: 0.0067, scmap loss: 0.0058, locref loss: 0.0002, limb loss: 0.0007, lr: 0.0001
iteration: 800, loss: 0.0072, scmap loss: 0.0063, locref loss: 0.0002, limb loss: 0.0007, lr: 0.0001
iteration: 900, loss: 0.0062, scmap loss: 0.0055, locref loss: 0.0001, limb loss: 0.0006, lr: 0.0001
iteration: 1000, loss: 0.0056, scmap loss: 0.0050, locref loss: 0.0001, limb loss: 0.0005, lr: 0.0001
iteration: 1100, loss: 0.0057, scmap loss: 0.0050, locref loss: 0.0001, limb loss: 0.0005, lr: 0.0001
iteration: 1200, loss: 0.0054, scmap loss: 0.0048, locref loss: 0.0001, limb loss: 0.0005, lr: 0.0001
iteration: 1300, loss: 0.0055, scmap loss: 0.0049, locref loss: 0.0001, limb loss: 0.0005, lr: 0.0001
iteration: 1400, loss: 0.0052, scmap loss: 0.0046, locref loss: 0.0001, limb loss: 0.0005, lr: 0.0001
iteration: 1500, loss: 0.0056, scmap loss: 0.0049, locref loss: 0.0001, limb loss: 0.0005, lr: 0.0001
iteration: 1600, loss: 0.0050, scmap loss: 0.0044, locref loss: 0.0001, limb loss: 0.0005, lr: 0.0001
iteration: 1700, loss: 0.0048, scmap loss: 0.0043, locref loss: 0.0001, limb loss: 0.0004, lr: 0.0001
iteration: 1800, loss: 0.0047, scmap loss: 0.0042, locref loss: 0.0001, limb loss: 0.0004, lr: 0.0001
iteration: 1900, loss: 0.0046, scmap loss: 0.0041, locref loss: 0.0001, limb loss: 0.0004, lr: 0.0001
iteration: 2000, loss: 0.0046, scmap loss: 0.0041, locref loss: 0.0001, limb loss: 0.0004, lr: 0.0001
iteration: 2100, loss: 0.0045, scmap loss: 0.0040, locref loss: 0.0001, limb loss: 0.0004, lr: 0.0001
iteration: 2200, loss: 0.0045, scmap loss: 0.0040, locref loss: 0.0001, limb loss: 0.0004, lr: 0.0001
iteration: 2300, loss: 0.0041, scmap loss: 0.0037, locref loss: 0.0001, limb loss: 0.0004, lr: 0.0001
iteration: 2400, loss: 0.0043, scmap loss: 0.0039, locref loss: 0.0001, limb loss: 0.0004, lr: 0.0001
iteration: 2500, loss: 0.0044, scmap loss: 0.0040, locref loss: 0.0001, limb loss: 0.0004, lr: 0.0001
iteration: 2600, loss: 0.0040, scmap loss: 0.0036, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 2700, loss: 0.0041, scmap loss: 0.0037, locref loss: 0.0001, limb loss: 0.0004, lr: 0.0001
iteration: 2800, loss: 0.0040, scmap loss: 0.0036, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 2900, loss: 0.0039, scmap loss: 0.0035, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 3000, loss: 0.0039, scmap loss: 0.0035, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 3100, loss: 0.0037, scmap loss: 0.0033, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 3200, loss: 0.0040, scmap loss: 0.0036, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 3300, loss: 0.0040, scmap loss: 0.0036, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 3400, loss: 0.0038, scmap loss: 0.0035, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 3500, loss: 0.0037, scmap loss: 0.0033, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 3600, loss: 0.0040, scmap loss: 0.0036, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 3700, loss: 0.0034, scmap loss: 0.0031, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 3800, loss: 0.0035, scmap loss: 0.0032, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 3900, loss: 0.0036, scmap loss: 0.0033, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 4000, loss: 0.0036, scmap loss: 0.0033, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 4100, loss: 0.0038, scmap loss: 0.0035, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 4200, loss: 0.0033, scmap loss: 0.0030, locref loss: 0.0001, limb loss: 0.0002, lr: 0.0001
iteration: 4300, loss: 0.0034, scmap loss: 0.0030, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 4400, loss: 0.0033, scmap loss: 0.0030, locref loss: 0.0001, limb loss: 0.0002, lr: 0.0001
iteration: 4500, loss: 0.0034, scmap loss: 0.0030, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 4600, loss: 0.0031, scmap loss: 0.0028, locref loss: 0.0001, limb loss: 0.0002, lr: 0.0001
iteration: 4700, loss: 0.0031, scmap loss: 0.0028, locref loss: 0.0001, limb loss: 0.0002, lr: 0.0001
iteration: 4800, loss: 0.0033, scmap loss: 0.0030, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 4900, loss: 0.0033, scmap loss: 0.0030, locref loss: 0.0001, limb loss: 0.0002, lr: 0.0001
iteration: 5000, loss: 0.0032, scmap loss: 0.0029, locref loss: 0.0001, limb loss: 0.0002, lr: 0.0001
iteration: 5100, loss: 0.0033, scmap loss: 0.0030, locref loss: 0.0001, limb loss: 0.0002, lr: 0.0001
iteration: 5200, loss: 0.0032, scmap loss: 0.0029, locref loss: 0.0001, limb loss: 0.0002, lr: 0.0001
iteration: 5300, loss: 0.0032, scmap loss: 0.0030, locref loss: 0.0001, limb loss: 0.0002, lr: 0.0001
iteration: 5400, loss: 0.0031, scmap loss: 0.0028, locref loss: 0.0001, limb loss: 0.0002, lr: 0.0001
iteration: 5500, loss: 0.0029, scmap loss: 0.0027, locref loss: 0.0000, limb loss: 0.0002, lr: 0.0001
iteration: 5600, loss: 0.0033, scmap loss: 0.0030, locref loss: 0.0001, limb loss: 0.0002, lr: 0.0001
iteration: 5700, loss: 0.0031, scmap loss: 0.0028, locref loss: 0.0001, limb loss: 0.0002, lr: 0.0001
iteration: 5800, loss: 0.0032, scmap loss: 0.0029, locref loss: 0.0000, limb loss: 0.0002, lr: 0.0001
iteration: 5900, loss: 0.0034, scmap loss: 0.0031, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 6000, loss: 0.0030, scmap loss: 0.0028, locref loss: 0.0000, limb loss: 0.0002, lr: 0.0001
iteration: 6100, loss: 0.0029, scmap loss: 0.0026, locref loss: 0.0000, limb loss: 0.0002, lr: 0.0001
iteration: 6200, loss: 0.0032, scmap loss: 0.0029, locref loss: 0.0000, limb loss: 0.0002, lr: 0.0001
iteration: 6300, loss: 0.0031, scmap loss: 0.0029, locref loss: 0.0000, limb loss: 0.0002, lr: 0.0001
iteration: 6400, loss: 0.0030, scmap loss: 0.0027, locref loss: 0.0000, limb loss: 0.0002, lr: 0.0001
iteration: 6500, loss: 0.0028, scmap loss: 0.0025, locref loss: 0.0000, limb loss: 0.0002, lr: 0.0001
iteration: 6600, loss: 0.0030, scmap loss: 0.0027, locref loss: 0.0000, limb loss: 0.0002, lr: 0.0001
iteration: 6700, loss: 0.0029, scmap loss: 0.0027, locref loss: 0.0000, limb loss: 0.0002, lr: 0.0001
iteration: 6800, loss: 0.0030, scmap loss: 0.0027, locref loss: 0.0000, limb loss: 0.0002, lr: 0.0001
iteration: 6900, loss: 0.0030, scmap loss: 0.0027, locref loss: 0.0000, limb loss: 0.0002, lr: 0.0001
iteration: 7000, loss: 0.0032, scmap loss: 0.0029, locref loss: 0.0000, limb loss: 0.0002, lr: 0.0001
iteration: 7100, loss: 0.0028, scmap loss: 0.0025, locref loss: 0.0000, limb loss: 0.0002, lr: 0.0001
iteration: 7200, loss: 0.0028, scmap loss: 0.0025, locref loss: 0.0000, limb loss: 0.0002, lr: 0.0001
iteration: 7300, loss: 0.0029, scmap loss: 0.0027, locref loss: 0.0000, limb loss: 0.0002, lr: 0.0001
iteration: 7400, loss: 0.0029, scmap loss: 0.0026, locref loss: 0.0000, limb loss: 0.0002, lr: 0.0001
iteration: 7500, loss: 0.0028, scmap loss: 0.0025, locref loss: 0.0000, limb loss: 0.0002, lr: 0.0001
iteration: 7600, loss: 0.0025, scmap loss: 0.0023, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 7700, loss: 0.0024, scmap loss: 0.0022, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 7800, loss: 0.0025, scmap loss: 0.0023, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 7900, loss: 0.0025, scmap loss: 0.0023, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 8000, loss: 0.0025, scmap loss: 0.0023, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 8100, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0001, lr: 5e-05
iteration: 8200, loss: 0.0024, scmap loss: 0.0022, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 8300, loss: 0.0025, scmap loss: 0.0023, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 8400, loss: 0.0024, scmap loss: 0.0022, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 8500, loss: 0.0024, scmap loss: 0.0022, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 8600, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 8700, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0001, lr: 5e-05
iteration: 8800, loss: 0.0024, scmap loss: 0.0022, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 8900, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 9000, loss: 0.0025, scmap loss: 0.0023, locref loss: 0.0000, limb loss: 0.0001, lr: 5e-05
iteration: 9100, loss: 0.0022, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0001, lr: 5e-05
iteration: 9200, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 9300, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0001, lr: 5e-05
iteration: 9400, loss: 0.0024, scmap loss: 0.0022, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 9500, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 9600, loss: 0.0024, scmap loss: 0.0022, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 9700, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0001, lr: 5e-05
iteration: 9800, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0001, lr: 5e-05
iteration: 9900, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 10000, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 10100, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 10200, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 10300, loss: 0.0021, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0001, lr: 5e-05
iteration: 10400, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0001, lr: 5e-05
iteration: 10500, loss: 0.0023, scmap loss: 0.0022, locref loss: 0.0000, limb loss: 0.0001, lr: 5e-05
iteration: 10600, loss: 0.0022, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0001, lr: 5e-05
iteration: 10700, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0001, lr: 5e-05
iteration: 10800, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 10900, loss: 0.0024, scmap loss: 0.0022, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 11000, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0001, lr: 5e-05
iteration: 11100, loss: 0.0021, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0001, lr: 5e-05
iteration: 11200, loss: 0.0022, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 11300, loss: 0.0020, scmap loss: 0.0018, locref loss: 0.0000, limb loss: 0.0001, lr: 5e-05
iteration: 11400, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0001, lr: 5e-05
iteration: 11500, loss: 0.0020, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0001, lr: 5e-05
iteration: 11600, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 11700, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 11800, loss: 0.0021, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 11900, loss: 0.0021, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0001, lr: 5e-05
iteration: 12000, loss: 0.0021, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0001, lr: 5e-05
iteration: 12100, loss: 0.0021, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 12200, loss: 0.0019, scmap loss: 0.0018, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 12300, loss: 0.0020, scmap loss: 0.0018, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 12400, loss: 0.0017, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 12500, loss: 0.0018, scmap loss: 0.0017, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 12600, loss: 0.0018, scmap loss: 0.0017, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 12700, loss: 0.0019, scmap loss: 0.0017, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 12800, loss: 0.0018, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 12900, loss: 0.0018, scmap loss: 0.0017, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 13000, loss: 0.0018, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 13100, loss: 0.0017, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 13200, loss: 0.0018, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 13300, loss: 0.0017, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 13400, loss: 0.0018, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 13500, loss: 0.0017, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 13600, loss: 0.0018, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 13700, loss: 0.0017, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 13800, loss: 0.0017, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 13900, loss: 0.0019, scmap loss: 0.0017, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 14000, loss: 0.0017, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 14100, loss: 0.0017, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 14200, loss: 0.0017, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 14300, loss: 0.0017, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 14400, loss: 0.0016, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 14500, loss: 0.0017, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 14600, loss: 0.0017, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 14700, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 14800, loss: 0.0017, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 14900, loss: 0.0017, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 15000, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 15100, loss: 0.0018, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 15200, loss: 0.0016, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 15300, loss: 0.0017, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 15400, loss: 0.0018, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 15500, loss: 0.0017, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 15600, loss: 0.0017, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 15700, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 15800, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 15900, loss: 0.0016, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 16000, loss: 0.0016, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 16100, loss: 0.0015, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 16200, loss: 0.0016, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 16300, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 16400, loss: 0.0016, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 16500, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 16600, loss: 0.0016, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 16700, loss: 0.0015, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 16800, loss: 0.0017, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 16900, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 17000, loss: 0.0016, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 17100, loss: 0.0015, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 17200, loss: 0.0016, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 17300, loss: 0.0015, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 17400, loss: 0.0015, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 17500, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 17600, loss: 0.0015, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 17700, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 17800, loss: 0.0015, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 17900, loss: 0.0016, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 18000, loss: 0.0014, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 18100, loss: 0.0016, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 18200, loss: 0.0015, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 18300, loss: 0.0015, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 18400, loss: 0.0016, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 18500, loss: 0.0016, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 18600, loss: 0.0016, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 18700, loss: 0.0015, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 18800, loss: 0.0014, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 18900, loss: 0.0014, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 19000, loss: 0.0014, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 19100, loss: 0.0014, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 19200, loss: 0.0014, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 19300, loss: 0.0015, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 19400, loss: 0.0014, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 19500, loss: 0.0014, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 19600, loss: 0.0015, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 19700, loss: 0.0015, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 19800, loss: 0.0015, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 19900, loss: 0.0016, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 20000, loss: 0.0014, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 20100, loss: 0.0015, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 20200, loss: 0.0015, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 20300, loss: 0.0014, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 20400, loss: 0.0014, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 20500, loss: 0.0014, scmap loss: 0.0013, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
