scorer,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000
129,800.5,76.1875,1.0,852.5,78.1875,1.0,808.0,300.5,1.0,810.0,233.5,1.0,810.5,171.875,1.0,1191.0,41.53125,1.0,1235.0,29.53125,0.9707,,,,1277.0,181.25,0.618,1243.0,124.8125,0.9966
130,800.5,76.625,1.0,852.5,80.5,1.0,807.5,300.5,1.0,809.5,233.125,1.0,810.0,171.125,1.0,1193.0,45.78125,1.0,1237.0,32.0625,0.9736,,,,1277.0,181.375,0.763,1243.0,131.25,0.981
131,800.0,76.625,1.0,852.5,80.5,1.0,806.0,299.25,1.0,809.5,232.5,1.0,810.0,171.125,1.0,1193.0,49.03125,1.0,1237.0,32.5625,0.993,,,,1271.0,181.375,0.01,1243.0,139.75,0.9927
132,800.5,76.375,1.0,852.5,77.75,1.0,804.0,299.0,1.0,810.0,232.125,1.0,810.5,168.25,1.0,1193.0,58.5,1.0,1229.0,43.15625,0.9854,,,,1263.0,181.375,1.0,1243.0,140.0,0.9727
133,800.5,76.375,1.0,852.5,79.25,1.0,804.0,299.0,1.0,810.0,232.125,1.0,812.5,167.875,1.0,1193.0,58.59375,1.0,1229.0,45.03125,0.9844,,,,,,,1242.0,142.0,0.9907
134,800.5,76.375,1.0,852.5,78.875,1.0,806.0,299.0,1.0,811.5,231.5,1.0,812.5,167.875,1.0,1193.0,60.65625,0.01,1235.0,51.96875,0.01,,,,,,,1242.0,142.875,0.01
135,802.5,76.375,1.0,852.5,77.75,1.0,806.0,299.0,1.0,811.5,231.5,1.0,812.5,168.25,1.0,1200.0,67.3125,0.01,1235.0,51.96875,0.01,,,,,,,1242.0,150.5,0.01
136,802.5,76.375,1.0,853.5,78.3125,1.0,807.0,299.0,1.0,811.5,232.125,1.0,810.5,168.25,1.0,1205.0,75.8125,0.01,1244.0,62.90625,0.01,,,,,,,1248.0,158.5,0.01
137,802.0,75.125,1.0,852.5,78.3125,1.0,808.0,299.75,1.0,810.5,232.25,1.0,810.5,168.75,1.0,1205.0,83.375,1.0,1248.0,67.4375,0.9844,,,,,,,1250.0,162.875,0.9883
138,801.0,75.125,1.0,853.5,78.3125,1.0,808.0,302.25,1.0,810.5,234.25,1.0,810.5,168.75,1.0,1205.0,87.375,1.0,1248.0,68.375,0.972,,,,,,,1251.0,165.625,0.994
139,801.0,74.875,0.9995,853.5,75.375,1.0,809.0,302.25,1.0,809.5,234.25,1.0,810.5,163.375,1.0,1201.0,90.125,1.0,1250.0,79.25,0.9624,,,,,,,1251.0,177.75,0.9976
140,799.5,74.25,0.9995,854.5,75.9375,1.0,809.0,301.5,1.0,809.5,234.375,1.0,811.5,163.125,1.0,1201.0,100.1875,1.0,1250.0,85.75,0.9946,,,,,,,1251.0,178.0,0.994
141,798.5,72.875,1.0,855.0,75.3125,1.0,809.0,302.25,1.0,809.5,234.75,1.0,811.5,163.25,1.0,1201.0,101.75,1.0,1250.0,97.4375,0.9473,,,,,,,1251.0,186.875,0.995
142,798.0,74.25,1.0,856.0,75.3125,1.0,809.0,301.5,1.0,809.0,234.875,1.0,812.5,163.125,1.0,1206.0,110.5,1.0,1252.0,98.875,0.994,,,,,,,1251.0,187.625,0.994
143,798.5,72.875,1.0,855.0,75.0625,1.0,809.0,301.0,1.0,809.0,234.875,1.0,812.5,163.125,1.0,1206.0,112.5625,1.0,1252.0,100.0,0.9956,,,,,,,1253.0,189.25,0.9863
144,798.5,72.875,1.0,857.0,69.9375,1.0,809.0,300.75,1.0,809.0,235.75,1.0,814.0,163.25,1.0,1206.0,114.625,1.0,1252.0,101.3125,0.951,,,,,,,1253.0,189.375,0.991
145,802.5,71.6875,1.0,855.0,69.9375,1.0,809.5,300.75,1.0,809.0,235.75,1.0,814.0,164.125,1.0,1206.0,120.875,1.0,1252.0,107.5,0.9927,,,,,,,1253.0,193.375,0.991
146,802.5,71.6875,1.0,854.5,69.6875,0.999,809.5,299.75,1.0,809.5,234.875,1.0,814.0,164.125,1.0,1205.0,121.0,1.0,1252.0,109.9375,0.994,,,,,,,1253.0,196.75,0.9937
147,802.5,71.6875,1.0,854.5,69.9375,1.0,809.5,299.75,1.0,809.5,235.0,1.0,814.0,164.125,1.0,1205.0,122.5,1.0,1253.0,110.25,0.9897,,,,,,,1254.0,197.75,0.991
148,799.5,74.8125,1.0,854.5,71.5,1.0,810.0,299.75,1.0,809.5,235.0,1.0,814.0,166.125,1.0,1206.0,125.25,1.0,1253.0,110.5,0.9917,,,,,,,1255.0,198.75,0.9893
149,798.0,75.375,1.0,854.0,73.5625,0.9995,810.0,299.75,1.0,809.5,235.0,1.0,814.0,168.25,1.0,1210.0,130.125,1.0,1253.0,113.3125,0.997,,,,,,,1255.0,203.125,0.9946
150,798.0,75.4375,1.0,851.5,75.625,1.0,809.5,301.25,1.0,809.5,235.0,1.0,814.0,168.25,1.0,1211.0,130.5,1.0,1254.0,114.3125,0.9985,,,,,,,1255.0,203.375,0.991
151,798.0,76.6875,1.0,851.0,75.8125,1.0,810.0,302.0,1.0,810.5,235.25,1.0,814.5,168.25,1.0,1211.0,136.5,1.0,1254.0,114.6875,0.9976,,,,,,,1255.0,205.5,0.9956
152,798.0,76.6875,1.0,850.5,76.9375,1.0,810.5,302.0,1.0,810.5,235.25,1.0,814.0,168.25,1.0,1211.0,137.0,1.0,1253.0,114.8125,0.999,,,,,,,1256.0,209.625,0.993
153,797.5,77.5,1.0,850.0,77.375,1.0,810.5,302.0,1.0,812.0,233.875,1.0,814.5,169.375,1.0,1213.0,137.0,1.0,1253.0,115.375,0.999,,,,,,,1256.0,211.5,0.9976
154,798.0,76.6875,1.0,850.0,77.375,1.0,808.0,303.0,1.0,811.5,233.875,1.0,814.5,169.375,1.0,1213.0,137.0,1.0,1253.0,116.9375,0.9927,,,,,,,1256.0,215.0,0.996
155,798.5,76.625,1.0,851.0,77.375,1.0,810.5,302.0,1.0,810.5,233.875,1.0,814.5,167.875,1.0,1213.0,137.125,1.0,1253.0,117.125,0.999,,,,,,,1256.0,217.875,0.996
156,799.5,76.625,1.0,851.5,77.375,1.0,809.0,301.75,1.0,810.5,233.875,1.0,814.0,169.375,1.0,1215.0,135.875,1.0,1256.0,117.25,0.9966,,,,,,,1256.0,217.875,0.9976
157,799.5,76.625,1.0,854.0,77.1875,1.0,809.0,302.0,1.0,809.5,232.75,1.0,814.0,164.875,1.0,1218.0,135.375,1.0,1267.0,117.25,0.9995,,,,,,,1256.0,217.875,0.998
158,800.0,76.625,1.0,855.5,77.1875,1.0,809.0,301.75,1.0,809.5,233.875,1.0,814.0,164.875,1.0,1220.0,134.625,1.0,1267.0,124.0625,0.9995,,,,,,,1256.0,217.875,0.998
159,800.0,76.75,1.0,854.0,78.4375,1.0,809.0,301.75,1.0,809.5,233.5,1.0,813.5,170.875,1.0,1226.0,132.875,0.999,1269.0,124.0625,0.959,1278.0,370.25,1.0,1276.0,284.25,0.10614,1256.0,216.875,0.9824
160,800.0,77.3125,1.0,857.0,77.5,1.0,809.0,302.25,1.0,812.0,233.5,1.0,814.0,170.875,1.0,1226.0,131.75,0.9995,1269.0,117.4375,0.9937,1275.0,365.25,0.952,1276.0,284.25,0.0791,1258.0,212.625,0.9946
161,799.5,77.25,1.0,857.0,78.0,1.0,809.0,302.25,1.0,812.0,233.5,1.0,813.5,170.25,1.0,1226.0,131.0,0.9995,1269.0,117.4375,0.854,1273.0,357.5,0.997,1276.0,279.5,0.3562,1258.0,210.0,0.995
162,799.5,77.25,1.0,855.5,78.0,1.0,809.0,300.5,1.0,812.0,235.25,1.0,813.5,170.25,1.0,,,,,,,1271.0,355.25,0.01,1276.0,279.5,0.01,1262.0,210.0,0.01
163,799.5,77.25,1.0,855.5,77.5,1.0,809.0,300.5,1.0,811.5,235.25,1.0,813.5,170.25,1.0,,,,,,,1267.0,355.25,0.01,1274.0,279.5,0.01,1267.0,210.0,0.01
164,799.0,77.5,1.0,855.5,77.5,1.0,808.0,300.5,1.0,811.5,238.0,1.0,813.5,169.875,1.0,,,,,,,1262.0,355.25,0.01,1272.0,288.75,0.01,1271.0,210.25,0.01
165,797.0,77.5,1.0,853.0,77.6875,1.0,809.0,300.5,1.0,811.5,238.0,1.0,813.0,170.25,1.0,,,,,,,1255.0,355.75,0.01,1266.0,295.0,0.01,1271.0,212.375,0.01
166,797.0,77.5,1.0,853.0,76.0625,1.0,809.0,301.0,1.0,812.0,238.0,1.0,813.0,170.75,1.0,,,,,,,1246.0,359.75,0.01,1258.0,295.0,0.01,1271.0,215.75,0.01
167,797.5,77.5,1.0,852.0,76.125,1.0,809.0,301.75,1.0,812.0,234.5,1.0,813.5,170.75,1.0,,,,,,,1234.0,361.75,0.9995,1247.0,295.0,0.9893,1267.0,220.75,0.9707
168,797.5,77.5,1.0,852.0,77.1875,1.0,809.0,302.0,1.0,812.5,233.75,1.0,813.5,169.875,1.0,,,,,,,1221.0,361.75,1.0,1238.0,295.0,0.999,1260.0,225.625,0.984
169,797.5,76.875,1.0,853.0,77.125,1.0,810.5,302.75,1.0,813.0,233.375,1.0,814.0,168.875,1.0,,,,,,,1221.0,361.75,1.0,1237.0,291.75,0.9946,1260.0,226.25,0.961
170,798.0,76.875,1.0,853.0,76.125,1.0,810.5,302.0,1.0,813.5,233.375,1.0,815.0,167.625,1.0,,,,,,,1216.0,360.5,0.9976,1236.0,291.75,0.9937,1260.0,227.375,0.982
171,798.0,76.9375,1.0,852.5,76.125,1.0,809.0,302.0,1.0,813.0,234.5,1.0,816.5,165.25,1.0,,,,,,,1205.0,358.25,0.9995,1232.0,291.75,0.9995,1260.0,227.375,0.9478
172,798.5,77.3125,1.0,852.5,77.125,1.0,810.0,301.25,1.0,813.0,235.25,1.0,817.0,161.375,1.0,,,,,,,1197.0,358.25,1.0,1222.0,292.5,1.0,1256.0,227.375,0.9897
173,800.0,76.9375,1.0,852.5,76.0625,1.0,810.0,301.25,1.0,813.5,235.875,1.0,817.0,161.375,1.0,,,,,,,1188.0,359.25,1.0,1222.0,292.5,0.999,1255.0,227.5,0.9795
174,800.0,77.3125,1.0,852.5,76.0625,1.0,810.0,301.25,1.0,812.0,236.25,1.0,817.0,164.5,1.0,,,,,,,1182.0,359.25,1.0,1215.0,292.5,1.0,1253.0,230.0,0.993
175,799.5,77.4375,1.0,852.5,77.3125,1.0,810.0,301.5,1.0,812.0,236.25,1.0,817.0,164.5,1.0,,,,,,,1169.0,359.25,1.0,1213.0,290.0,1.0,1253.0,240.875,0.9966
176,800.0,77.3125,1.0,852.5,77.3125,1.0,810.0,302.0,1.0,813.0,236.25,1.0,816.5,164.5,1.0,,,,,,,1165.0,359.25,1.0,1206.0,294.75,1.0,1252.0,241.0,0.9995
177,799.5,77.4375,1.0,853.5,75.0625,1.0,811.0,302.0,1.0,813.0,236.25,1.0,816.5,165.5,1.0,,,,,,,1165.0,357.5,1.0,1205.0,292.25,1.0,1242.0,241.0,1.0
178,798.5,77.5625,1.0,853.5,75.0625,1.0,810.0,301.5,1.0,812.0,235.0,1.0,816.0,165.5,1.0,,,,,,,1162.0,357.25,1.0,1203.0,292.25,0.9995,1242.0,241.25,0.9995
179,798.5,77.4375,1.0,854.5,75.0625,1.0,811.0,301.25,1.0,812.0,235.0,1.0,815.5,165.5,1.0,,,,,,,1159.0,357.25,1.0,1200.0,292.25,1.0,1240.0,242.625,1.0
180,798.5,76.75,1.0,854.5,75.0625,1.0,811.5,301.25,1.0,812.0,235.0,1.0,815.5,167.75,1.0,,,,,,,1156.0,357.25,1.0,1197.0,292.25,1.0,1239.0,242.625,1.0
181,798.0,76.75,1.0,854.5,75.625,1.0,811.5,301.25,1.0,812.0,233.75,1.0,815.5,168.75,1.0,,,,,,,1145.0,357.25,1.0,1194.0,287.25,1.0,1236.0,242.375,1.0
182,797.5,76.75,1.0,853.5,77.6875,1.0,810.5,300.5,1.0,811.5,233.75,1.0,815.5,168.75,1.0,,,,,,,1143.0,358.75,1.0,1190.0,287.25,1.0,1232.0,242.625,1.0
183,798.0,75.625,1.0,853.0,79.4375,1.0,811.0,300.5,1.0,811.5,239.0,1.0,815.5,168.25,1.0,,,,,,,1141.0,359.75,1.0,1187.0,287.25,1.0,1232.0,242.375,1.0
184,798.0,75.625,1.0,852.5,79.4375,1.0,810.5,301.25,1.0,811.5,240.125,1.0,815.5,168.25,1.0,,,,,,,1134.0,359.75,1.0,1181.0,288.5,1.0,1232.0,242.375,1.0
185,797.5,75.5625,1.0,852.0,79.4375,1.0,809.5,301.5,1.0,811.5,241.0,1.0,815.5,168.25,1.0,,,,,,,1129.0,359.75,1.0,1179.0,288.75,1.0,1230.0,244.5,0.9995
186,797.5,75.5625,1.0,846.5,79.875,1.0,807.5,301.5,1.0,812.0,242.0,1.0,815.0,168.25,1.0,,,,,,,1122.0,358.0,1.0,1171.0,288.75,1.0,1224.0,244.5,1.0
187,798.0,74.25,1.0,844.0,78.5625,1.0,805.5,301.5,1.0,812.0,242.0,1.0,814.0,169.5,1.0,,,,,,,1112.0,357.0,1.0,1165.0,288.75,1.0,1220.0,245.75,0.995
188,797.5,73.625,1.0,844.0,77.8125,1.0,805.5,302.25,1.0,812.0,241.0,1.0,814.0,169.5,1.0,,,,,,,1102.0,355.25,1.0,1151.0,292.25,1.0,1220.0,247.375,0.999
189,797.5,73.375,1.0,843.5,77.8125,1.0,806.0,302.75,1.0,812.0,237.25,1.0,813.5,171.0,1.0,,,,,,,1090.0,352.25,1.0,1145.0,293.0,1.0,1206.0,259.0,0.979
190,797.5,73.375,1.0,843.5,83.9375,1.0,806.0,302.75,1.0,810.0,237.25,1.0,813.5,171.0,1.0,,,,,,,1083.0,350.0,0.9985,1137.0,292.25,1.0,1203.0,259.0,0.9995
191,797.0,73.125,1.0,844.0,79.125,1.0,808.5,302.75,1.0,810.0,237.25,1.0,813.5,171.0,1.0,,,,,,,1073.0,316.5,1.0,1124.0,292.25,0.9917,1191.0,259.0,0.999
192,796.5,73.375,1.0,844.5,80.875,1.0,809.0,302.75,1.0,810.0,237.25,1.0,813.5,171.25,1.0,,,,,,,,,,,,,,,
193,796.0,74.375,1.0,844.5,80.875,1.0,810.0,301.25,1.0,809.0,237.25,1.0,813.5,171.25,1.0,,,,,,,,,,,,,,,
194,796.0,74.5,1.0,846.0,79.125,1.0,810.0,301.25,1.0,810.0,237.25,1.0,813.5,169.875,1.0,,,,,,,,,,,,,,,
195,796.0,74.375,1.0,846.0,78.75,1.0,810.0,301.25,1.0,810.5,237.25,1.0,811.5,169.875,1.0,,,,,,,,,,,,,,,
196,796.0,74.5,1.0,846.0,78.75,1.0,810.0,301.0,1.0,810.5,238.875,1.0,810.5,169.875,1.0,,,,,,,,,,,,,,,
197,796.0,74.5,0.9995,844.5,78.75,0.9995,809.5,301.0,1.0,810.5,238.125,1.0,810.5,167.0,1.0,,,,,,,,,,,,,,,
198,795.5,76.4375,1.0,844.5,80.3125,1.0,809.0,301.0,1.0,812.0,238.875,1.0,810.5,167.0,1.0,1236.0,203.875,0.999,1261.0,281.25,0.539,1001.5,284.75,1.0,1081.0,271.75,1.0,1152.0,264.0,1.0
199,797.0,77.5,0.9995,843.0,80.3125,1.0,808.0,301.0,1.0,810.5,238.875,1.0,811.5,166.375,1.0,1223.0,203.875,1.0,1252.0,276.75,0.429,996.5,282.75,1.0,1073.0,271.25,1.0,1152.0,264.0,1.0
200,797.0,77.5,1.0,843.0,80.3125,1.0,807.5,301.25,1.0,812.0,238.75,1.0,811.5,166.375,1.0,1223.0,203.875,1.0,1252.0,276.5,0.986,996.5,281.75,1.0,1072.0,270.75,1.0,1148.0,264.0,1.0
201,797.5,76.4375,1.0,843.0,79.875,1.0,807.5,302.75,1.0,810.5,238.375,1.0,811.5,167.0,1.0,1219.0,200.25,0.9995,1247.0,276.25,0.2664,994.0,277.0,1.0,1071.0,271.25,1.0,1149.0,265.0,1.0
202,798.0,76.4375,1.0,846.0,78.1875,1.0,807.5,302.75,1.0,810.5,238.375,1.0,811.5,173.0,1.0,1216.0,204.125,1.0,1244.0,276.25,0.04803,991.0,276.25,1.0,1059.0,270.75,1.0,1148.0,265.25,1.0
203,798.0,74.6875,1.0,843.0,77.4375,1.0,808.0,301.75,1.0,810.5,237.875,1.0,810.5,175.75,1.0,1207.0,205.75,1.0,1244.0,276.25,0.4512,984.0,275.75,1.0,1051.0,269.25,1.0,1148.0,266.5,1.0
204,799.0,74.6875,0.9995,846.0,77.4375,1.0,808.0,302.75,1.0,809.5,237.875,1.0,810.5,176.375,1.0,1207.0,215.0,1.0,1238.0,275.75,0.98,979.5,275.75,1.0,1051.0,268.75,1.0,1134.0,266.75,1.0
205,799.5,77.6875,1.0,846.0,77.4375,0.9995,808.5,301.75,1.0,809.5,237.875,1.0,811.5,176.375,1.0,1207.0,213.5,0.9995,1235.0,275.5,0.832,974.5,276.0,1.0,1051.0,268.75,1.0,1125.0,267.5,1.0
206,800.0,77.75,1.0,847.0,78.3125,1.0,809.0,301.5,1.0,809.0,238.875,1.0,811.5,176.375,1.0,1208.0,214.875,1.0,1233.0,276.0,0.01,969.0,276.25,0.01,1051.0,268.75,0.01,1118.0,268.75,0.01
207,800.5,77.75,1.0,847.0,78.3125,1.0,808.5,301.25,1.0,808.0,240.75,1.0,811.0,176.375,1.0,1208.0,213.5,1.0,1233.0,276.0,0.01,964.0,278.75,0.01,1051.0,269.0,0.01,1112.0,270.5,0.01
208,800.5,77.75,1.0,848.5,80.25,1.0,808.0,301.25,1.0,808.0,242.875,1.0,811.0,175.0,1.0,1208.0,213.5,1.0,1223.0,276.0,0.01,959.0,281.75,0.01,1051.0,271.75,0.01,1107.0,270.5,0.01
209,800.5,78.3125,1.0,854.0,87.25,1.0,807.0,301.0,1.0,808.0,244.625,1.0,811.0,175.0,1.0,1191.0,209.875,0.01,1211.0,277.75,0.01,954.0,281.75,0.01,1046.0,271.75,0.01,1103.0,270.5,0.01
210,798.0,78.3125,1.0,855.0,87.25,1.0,806.5,301.25,1.0,808.0,245.875,1.0,811.0,175.0,1.0,1181.0,209.875,1.0,1203.0,279.75,1.0,949.0,281.75,1.0,1036.0,271.75,1.0,1103.0,268.75,1.0
211,798.0,78.25,1.0,855.0,87.25,1.0,803.0,301.25,1.0,806.5,246.125,1.0,811.0,174.75,1.0,1180.0,209.875,1.0,1200.0,281.5,1.0,944.0,278.25,1.0,1023.5,268.5,1.0,1102.0,268.75,1.0
212,797.5,78.25,1.0,854.0,87.6875,1.0,803.0,302.0,1.0,806.5,246.125,1.0,812.5,174.5,1.0,1180.0,210.375,1.0,1197.0,281.75,0.9995,939.0,278.25,0.01,1019.5,268.5,0.01,1097.0,268.75,1.0
213,796.5,79.375,1.0,855.5,87.25,1.0,803.0,302.0,1.0,806.5,246.125,1.0,814.5,170.375,1.0,1177.0,212.125,1.0,1191.0,282.0,1.0,935.0,278.25,0.9995,1019.5,268.5,1.0,1093.0,271.0,1.0
214,796.5,78.25,1.0,853.5,86.0625,1.0,803.0,302.5,1.0,806.5,246.125,1.0,814.5,170.375,1.0,1174.0,212.5,1.0,1189.0,282.75,1.0,933.0,278.25,0.01,1016.0,268.5,0.01,1086.0,274.0,1.0
215,796.5,78.25,1.0,853.5,85.9375,1.0,805.5,302.5,1.0,806.5,246.5,1.0,815.0,170.375,1.0,1165.0,212.5,1.0,1181.0,282.75,0.999,926.5,279.5,0.999,1007.0,268.5,1.0,1082.0,274.0,1.0
216,796.5,79.1875,1.0,855.5,84.4375,1.0,805.5,302.5,1.0,806.5,249.5,1.0,815.0,170.375,1.0,1164.0,212.625,1.0,1178.0,283.75,0.9985,918.0,279.5,1.0,995.5,266.75,1.0,1079.0,274.0,1.0
217,796.5,77.8125,1.0,856.5,84.25,1.0,802.5,302.5,1.0,807.5,249.5,1.0,815.0,170.25,0.997,1159.0,213.5,1.0,1177.0,282.75,0.9995,915.5,276.0,1.0,995.0,266.25,1.0,1078.0,267.75,1.0
218,796.0,77.8125,1.0,855.5,84.25,1.0,802.0,302.5,1.0,807.5,247.875,1.0,815.0,167.5,1.0,1159.0,213.875,1.0,1174.0,282.75,0.9985,915.0,275.0,1.0,994.0,265.5,1.0,1077.0,267.75,1.0
219,796.0,78.8125,1.0,855.5,84.25,1.0,802.5,302.5,1.0,806.5,247.875,1.0,815.0,165.0,1.0,1159.0,213.5,1.0,1173.0,282.75,0.999,914.0,275.0,1.0,988.0,263.5,1.0,1072.0,266.75,1.0
